term,translation,category,status,confidence,source,chapterRefs,reviewer,reviewedAt,locked,notes,options,desc_en,desc_vi
mission statement,tuyên bố sứ mệnh,other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 1, Chương 7",tuyên bố sứ mệnh,"statement of an organization’s reason for being that defines its primary long-term goal, explains what the venture will do, what value it will provide to the end customer, and how it will accomplish that action","tuyên bố về lý do tồn tại của tổ chức, xác định mục tiêu dài hạn, mô tả doanh nghiệp sẽ làm gì, tạo ra giá trị gì cho khách hàng và cách thức thực hiện"
opportunity-identifying perspective,góc nhìn nhận diện cơ hội,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 1,góc nhìn nhận diện cơ hội,method for identifying a problem and determining how it could be translated into an opportunity to create a new venture,phương pháp nhận diện vấn đề và chuyển hóa vấn đề đó thành cơ hội để xây dựng một doanh nghiệp mới
quantifiable manner,cách thức đo lường được,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 1,cách thức đo lường được,method to determine if a goal has been met or not,phương pháp xác định liệu một mục tiêu đã được đạt hay chưa thông qua các chỉ số có thể đo lường
serial entrepreneur,doanh nhân khởi nghiệp liên tiếp,other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 1, Chương 2, Chương 15",doanh nhân khởi nghiệp liên tiếp,entrepreneur who becomes involved in starting multiple entrepreneurial ventures,doanh nhân tham gia khởi tạo nhiều dự án khởi nghiệp khác nhau
smart goals,mục tiêu SMART,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 1,mục tiêu SMART,"well-structured and defined goals that are specific, measurable, achievable, realistic and timely","các mục tiêu được xác định rõ ràng, cụ thể, có thể đo lường, khả thi, thực tế và có thời hạn"
social entrepreneur,doanh nhân xã hội,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 1,doanh nhân xã hội,"entrepreneur who has an interest in solving a social, environmental, or economic problem","doanh nhân tập trung giải quyết các vấn đề xã hội, môi trường hoặc kinh tế"
value proposition,giá trị đề xuất,other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 1, Chương 7, Chương 11",giá trị đề xuất,summary describing the benefits (value) customers can expect from a particular product or service,bản mô tả tổng hợp các lợi ích mà khách hàng có thể nhận được từ một sản phẩm hoặc dịch vụ
vision statement,tuyên bố tầm nhìn,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 1,tuyên bố tầm nhìn,picture of what the venture will become in the future or what the venture will grow into,mô tả về trạng thái tương lai mà doanh nghiệp hướng tới hoặc sẽ phát triển thành
opportunity recognition,nhận diện cơ hội kinh doanh,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 1 (bổ sung),nhận diện cơ hội kinh doanh,"the process of identifying potential opportunities to create value by recognizing unmet needs, problems, or gaps in the market.","quá trình xác định các cơ hội tiềm năng để tạo ra giá trị thông qua việc nhận ra những nhu cầu chưa được đáp ứng, các vấn đề hoặc khoảng trống trên thị trường."
value creation,tạo ra giá trị,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 1 (bổ sung),tạo ra giá trị,"the process of generating benefits for customers, stakeholders, or society through products, services, or solutions.","quá trình tạo ra lợi ích cho khách hàng, các bên liên quan hoặc xã hội thông qua sản phẩm, dịch vụ hoặc giải pháp."
market entry,gia nhập thị trường,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 1 (bổ sung),gia nhập thị trường,the strategy and process by which a business enters a new market to offer its products or services.,chiến lược và quá trình mà một doanh nghiệp đưa sản phẩm hoặc dịch vụ của mình vào một thị trường mới.
entrepreneurial ecosystem,hệ sinh thái khởi nghiệp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 1 (bổ sung),hệ sinh thái khởi nghiệp,"a network of interconnected individuals, organizations, institutions, and resources that support and influence entrepreneurial activity within a specific region or environment.","hệ thống các cá nhân, tổ chức, thể chế và nguồn lực có mối liên kết với nhau, cùng hỗ trợ và tác động đến hoạt động khởi nghiệp trong một khu vực hoặc môi trường nhất định."
action plan,kế hoạch hành động,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 2,kế hoạch hành động,"organized, step-by-step outline or guide that pulls together the ideas, thoughts, and key steps necessary to help set the stage for entrepreneurial success","bản kế hoạch có tổ chức, theo từng bước, tổng hợp các ý tưởng, suy nghĩ và các bước quan trọng cần thiết nhằm tạo nền tảng cho sự thành công trong khởi nghiệp"
benchmarking,so sánh chuẩn (benchmarking),other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 2, Chương 12",so sánh chuẩn (benchmarking),"comparing one’s own company’s performance with an industry average, a leader within the industry, or a market segment","việc so sánh hiệu suất của công ty với mức trung bình của ngành, một doanh nghiệp dẫn đầu trong ngành hoặc một phân khúc thị trường"
bootstrapping,tự huy động vốn,other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 2, Chương 9",tự huy động vốn,funding strategy that seeks to optimize use of personal funds and other creative strategies (such as bartering) to minimize cash outflows,chiến lược tài trợ nhằm tối ưu hóa việc sử dụng nguồn vốn cá nhân và các phương thức sáng tạo khác (như trao đổi hàng hóa/dịch vụ) để giảm thiểu dòng tiền chi ra
breakeven point,điểm hòa vốn,other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 2, Chương 9, Chương 11",điểm hòa vốn,level of operations that results in exactly enough revenue to cover costs,mức hoạt động tạo ra doanh thu vừa đủ để bù đắp chi phí
business model,mô hình kinh doanh,other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 2, Chương 5, Chương 11",mô hình kinh doanh,"plan for how venture will be funded; how the venture creates value for its stakeholders, including customers; how the venture’s offerings are made and distributed to the end users; and how income will be generated through this process","kế hoạch về cách doanh nghiệp sẽ được tài trợ; cách doanh nghiệp tạo ra giá trị cho các bên liên quan, bao gồm khách hàng; cách các sản phẩm hoặc dịch vụ được tạo ra và phân phối đến người dùng cuối; và cách thu nhập sẽ được tạo ra thông qua quá trình này"
capitalism,chủ nghĩa tư bản,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 2,chủ nghĩa tư bản,"system in which individuals, people, and companies have the freedom to make decisions and own property as well as benefit from their own efforts, with government playing a secondary role in oversight","hệ thống trong đó cá nhân và doanh nghiệp có quyền tự do ra quyết định, sở hữu tài sản và hưởng lợi từ nỗ lực của mình, với vai trò giám sát của chính phủ ở mức thứ yếu"
cash flow,dòng tiền,other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 2, Chương 12",dòng tiền,money collected by the business through revenue and funding versus money disbursed by the business through expenses,số tiền doanh nghiệp thu được từ doanh thu và nguồn tài trợ so với số tiền chi ra thông qua các khoản chi phí
cash management,quản lý dòng tiền,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 2,quản lý dòng tiền,management of cash inflows and outflows to support cash needs of the venture,việc quản lý dòng tiền vào và dòng tiền ra nhằm đáp ứng nhu cầu tiền mặt của doanh nghiệp
corporate entrepreneurship,khởi nghiệp trong doanh nghiệp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 2,khởi nghiệp trong doanh nghiệp,"development of new ideas, opportunities, or ventures through formal research and development processes that focused on the corporation’s strategy and goals","việc phát triển các ý tưởng, cơ hội hoặc dự án mới thông qua các quy trình nghiên cứu và phát triển chính thức, phù hợp với chiến lược và mục tiêu của doanh nghiệp"
creative destruction,sự hủy diệt sáng tạo,other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 2, Chương 5",sự hủy diệt sáng tạo,"theory developed by Joseph Schumpeter stating that entrepreneurial innovation is the disruptive force that creates and sustains economic growth, though in the process, it destroys established companies and disrupts employment","lý thuyết do Joseph Schumpeter phát triển, cho rằng đổi mới khởi nghiệp là lực lượng phá vỡ tạo ra và duy trì tăng trưởng kinh tế, mặc dù trong quá trình đó nó phá hủy các doanh nghiệp hiện hữu và làm gián đoạn việc làm"
e-commerce,thương mại điện tử,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 2,thương mại điện tử,"electronic transactions, particularly over the Internet, for the exchange of goods and services","các giao dịch điện tử, đặc biệt qua Internet, nhằm trao đổi hàng hóa và dịch vụ"
entrepreneurial journey,hành trình khởi nghiệp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 2,hành trình khởi nghiệp,your exploration to discover if entrepreneurship is right for you,quá trình khám phá của bạn nhằm xác định liệu khởi nghiệp có phù hợp với bạn hay không
entrepreneurial process,quy trình khởi nghiệp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 2,quy trình khởi nghiệp,set of decisions or actions that can be outlined and followed as a guide to developing or adjusting a venture,tập hợp các quyết định hoặc hành động có thể được xác định và thực hiện theo như một hướng dẫn để phát triển hoặc điều chỉnh doanh nghiệp
entrepreneurial spirit,tinh thần khởi nghiệp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 2,tinh thần khởi nghiệp,describes a quality of those individuals who are productive self-starters focused on making changes happen,"mô tả phẩm chất của những cá nhân chủ động, làm việc hiệu quả và tập trung vào việc tạo ra sự thay đổi"
framework,khuôn khổ,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 2,khuôn khổ,"structure or outlined process that can be used to accomplish entrepreneurial goals through problem solving, idea generation and validation, and brainstorming","cấu trúc hoặc quy trình được phác thảo có thể được sử dụng để đạt được mục tiêu khởi nghiệp thông qua giải quyết vấn đề, tạo và kiểm chứng ý tưởng, và động não"
franchising,nhượng quyền thương mại,other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 2, Chương 10",nhượng quyền thương mại,form of licensing that allows the business (franchisor) to share its business model to expand through various distributors (franchisees) for a fee,hình thức cấp phép cho phép doanh nghiệp (bên nhượng quyền) chia sẻ mô hình kinh doanh của mình để mở rộng thông qua các bên nhận quyền khác nhau để đổi lấy một khoản phí
independent contractor,nhà thầu độc lập,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 2,nhà thầu độc lập,"people or businesses that provide work similar to an employee without being part of the payroll for the contracting business, and who pay their own taxes and pay for their own benefits","cá nhân hoặc doanh nghiệp cung cấp công việc tương tự như nhân viên nhưng không thuộc biên chế của doanh nghiệp thuê, và tự chịu trách nhiệm nộp thuế cũng như chi trả các quyền lợi của mình"
innovation,đổi mới,other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 2, Chương 4, Chương 11",đổi mới,"new idea, process, or product, or a change to an existing product or process","ý tưởng, quy trình hoặc sản phẩm mới, hoặc sự thay đổi đối với sản phẩm hoặc quy trình hiện có"
intrapreneur,doanh nhân nội bộ,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 2,doanh nhân nội bộ,"employee who acts as an entrepreneur within an organization, rather than going solo",nhân viên hành động như một doanh nhân bên trong tổ chức thay vì khởi nghiệp độc lập
milestone,cột mốc,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 2,cột mốc,significant decision point or significant accomplishment,điểm quyết định quan trọng hoặc thành tựu quan trọng
patent,bằng sáng chế,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 2,bằng sáng chế,"legal grant of protection for an inventor over the rights, usage, and commercialization of an invention for a set time period","sự bảo hộ pháp lý dành cho nhà phát minh đối với quyền sở hữu, sử dụng và thương mại hóa một phát minh trong một khoảng thời gian nhất định"
situational opportunity,cơ hội tình huống,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 2,cơ hội tình huống,"one that becomes available, depending on factors such as where you work, your family obligations, your idea or invention, your unique creative expression, or a recent career search or job change","cơ hội xuất hiện tùy thuộc vào các yếu tố như nơi bạn làm việc, nghĩa vụ gia đình, ý tưởng hoặc phát minh của bạn, khả năng sáng tạo riêng biệt hoặc việc tìm kiếm việc làm hay thay đổi nghề nghiệp gần đây"
soft launch,ra mắt thử nghiệm (soft launch),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 2,ra mắt thử nghiệm (soft launch),"launching a venture for a limited time frame or audience to gain experience, insights, and feedback about the target market or consumer","việc triển khai một doanh nghiệp trong một khoảng thời gian hoặc với một nhóm đối tượng hạn chế nhằm thu thập kinh nghiệm, hiểu biết và phản hồi về thị trường mục tiêu hoặc khách hàng"
target market,thị trường mục tiêu,other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 2, Chương 8",thị trường mục tiêu,specific group of consumers for which a company seeks to provide a good or service,nhóm người tiêu dùng cụ thể mà doanh nghiệp hướng tới phục vụ bằng sản phẩm hoặc dịch vụ
venture,doanh nghiệp (venture),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 2,doanh nghiệp (venture),startup company or organization that conducts business or is created to satisfy a need,công ty hoặc tổ chức khởi nghiệp tiến hành hoạt động kinh doanh hoặc được thành lập để đáp ứng một nhu cầu
vertical integration,tích hợp dọc,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 2,tích hợp dọc,strategy of gaining control over suppliers of raw materials and distributors of finished products to expand or control the relevant supply chain,chiến lược giành quyền kiểm soát các nhà cung cấp nguyên vật liệu và các nhà phân phối sản phẩm hoàn chỉnh nhằm mở rộng hoặc kiểm soát chuỗi cung ứng liên quan
career trajectory,lộ trình nghề nghiệp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 2 (bổ sung),lộ trình nghề nghiệp,"the overall path of an individual’s professional development over time, including roles, experiences, and career progression.","quá trình phát triển nghề nghiệp của một cá nhân theo thời gian, bao gồm các vị trí công việc, kinh nghiệm tích lũy và sự tiến triển trong sự nghiệp."
entrepreneurial exposure,mức độ tiếp xúc với môi trường khởi nghiệp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 2 (bổ sung),mức độ tiếp xúc với môi trường khởi nghiệp,"the extent to which an individual has been exposed to entrepreneurial activities, environments, or influences, such as through education, family, work, or social networks.","Mức độ mà một cá nhân được tiếp cận với các hoạt động, môi trường hoặc ảnh hưởng liên quan đến khởi nghiệp, thông qua giáo dục, gia đình, công việc hoặc các mối quan hệ xã hội."
self-employment,tự kinh doanh (tự làm chủ),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 2 (bổ sung),tự kinh doanh (tự làm chủ),A work arrangement in which an individual operates their own business or works independently rather than being employed by an organization.,"Hình thức làm việc trong đó cá nhân tự vận hành hoạt động kinh doanh hoặc làm việc độc lập, thay vì làm việc cho một tổ chức như một nhân viên. ."
venture lifecycle,vòng đời doanh nghiệp khởi nghiệp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 2 (bổ sung),vòng đời doanh nghiệp khởi nghiệp,"The stages a venture goes through from its initial idea and development to growth, maturity, and eventual exit or decline.","Các giai đoạn mà một dự án hoặc doanh nghiệp khởi nghiệp trải qua, từ ý tưởng ban đầu, phát triển, tăng trưởng, trưởng thành cho đến thoái vốn hoặc suy giảm."
anchoring strategies,chiến lược neo (đạo đức),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 3,chiến lược neo (đạo đức),"in the ethical context, the process of making ethics a foundation (anchor) of your business so that decision makers act keeping in mind key ethical considerations","trong bối cảnh đạo đức, là quá trình lấy đạo đức làm nền tảng (neo) cho doanh nghiệp để những người ra quyết định luôn cân nhắc các yếu tố đạo đức quan trọng"
antitrust laws,luật chống độc quyền,other,approved,medium,auto,,,,false,,luật chống độc quyền,prevent companies from abusing position or power in the market through exclusion or limitation of competitor access to the market,các quy định ngăn chặn doanh nghiệp lạm dụng vị thế hoặc quyền lực trên thị trường thông qua việc loại trừ hoặc hạn chế khả năng tiếp cận thị trường của đối thủ cạnh tranh
business ethics,đạo đức kinh doanh,other,approved,medium,auto,,,,false,,đạo đức kinh doanh,"conduct by which companies and their agents abide by the law and respect the rights of their stakeholders, particularly their customers, clients, employees, and the surrounding community and environment","hành vi mà theo đó các công ty và đại diện của họ tuân thủ pháp luật và tôn trọng quyền lợi của các bên liên quan, đặc biệt là khách hàng, đối tác, nhân viên, cũng như cộng đồng và môi trường xung quanh"
conflict of interest,xung đột lợi ích,other,approved,medium,auto,,,,false,,xung đột lợi ích,when an individual or organization has interests in multiple areas that come into conflict with each other,khi một cá nhân hoặc tổ chức có lợi ích trong nhiều lĩnh vực và các lợi ích này xung đột với nhau
copyright,bản quyền,other,approved,medium,auto,,,,false,,bản quyền,"grants the creator of a work the exclusive right to reproduce the work, typically for a specified period of time","trao cho người sáng tạo một tác phẩm quyền độc quyền sao chép tác phẩm đó, thường trong một khoảng thời gian nhất định"
corporate social responsibility (csr),trách nhiệm xã hội của doanh nghiệp (CSR),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 3,trách nhiệm xã hội của doanh nghiệp (CSR),"practice in which a business views itself within a broader context, as a member of society with certain implicit social obligations and responsibility for its own effects on environmental and social well-being","thực tiễn trong đó doanh nghiệp nhìn nhận mình trong bối cảnh rộng lớn hơn, như một thành viên của xã hội với các nghĩa vụ xã hội ngầm định và trách nhiệm đối với tác động của mình đến môi trường và phúc lợi xã hội"
design patent,bằng sáng chế kiểu dáng,other,approved,medium,auto,,,,false,,bằng sáng chế kiểu dáng,protects product design,bảo hộ thiết kế của sản phẩm
disclosure,công bố thông tin,other,approved,medium,auto,,,,false,,công bố thông tin,sharing the needed facts and details about a subject in a transparent and truthful way,việc chia sẻ các thông tin và chi tiết cần thiết về một vấn đề một cách minh bạch và trung thực
diversity,đa dạng,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 3,đa dạng,"inclusion of many types of employees, regardless of differences (race, religion, gender, disability, LGBTQ, socioeconomic, cultural)","việc bao gồm nhiều loại nhân sự khác nhau, bất kể các khác biệt về chủng tộc, tôn giáo, giới tính, khuyết tật, LGBTQ, điều kiện kinh tế xã hội hoặc văn hóa"
environmental entrepreneurship,khởi nghiệp môi trường,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 3,khởi nghiệp môi trường,entrepreneurial ventures focused on identifying an environmental problem and creating a product or process to solve that problem,các hoạt động khởi nghiệp tập trung vào việc xác định một vấn đề môi trường và tạo ra sản phẩm hoặc quy trình để giải quyết vấn đề đó
ethics,đạo đức,other,approved,medium,auto,,,,false,,đạo đức,,
fairness,sự công bằng,other,approved,medium,auto,,,,false,,sự công bằng,"impartial, unbiased compliance with rules and standards of what is right, just, and equitable","sự tuân thủ các quy tắc và tiêu chuẩn một cách khách quan, không thiên vị đối với những gì là đúng đắn, chính đáng và bình đẳng"
integrity,tính chính trực,other,approved,medium,auto,,,,false,,tính chính trực,adherence to a code of moral values implying trustworthiness and incorruptibility because there is unity between what we say and what we do,"việc tuân thủ một hệ thống các giá trị đạo đức, thể hiện sự đáng tin cậy và không bị tha hóa, bởi có sự thống nhất giữa lời nói và hành động"
intellectual property,tài sản trí tuệ,other,approved,medium,auto,,,,false,,tài sản trí tuệ,legally protected result of creative work to turn a unique idea into a product or service,kết quả của hoạt động sáng tạo được pháp luật bảo hộ nhằm biến một ý tưởng độc đáo thành sản phẩm hoặc dịch vụ
prejudice,định kiến,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 3,định kiến,"way of thinking about or treating employees in a manner that favors or hinders one person or group over another, usually in a way considered to be unfair","cách suy nghĩ hoặc đối xử với nhân viên theo cách ưu ái hoặc gây bất lợi cho một cá nhân hoặc nhóm so với người khác, thường được coi là không công bằng"
social entrepreneurship,khởi nghiệp xã hội,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 3,khởi nghiệp xã hội,entrepreneurial ventures focused on identifying a societal problem and creating a product or process to solve that problem,các hoạt động khởi nghiệp tập trung vào việc xác định một vấn đề xã hội và tạo ra sản phẩm hoặc quy trình để giải quyết vấn đề đó
sustainability,tính bền vững,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 3,tính bền vững,practice of preserving resources and operating in a way that is ecologically responsible in the long term,thực hành bảo tồn tài nguyên và vận hành theo cách có trách nhiệm với môi trường trong dài hạn
trade secret,bí mật thương mại,other,approved,medium,auto,,,,false,,bí mật thương mại,"proprietary information, processes, or other internal knowledge that contribute to an organization’s competitive edge in a market","thông tin độc quyền, quy trình hoặc kiến thức nội bộ khác góp phần tạo lợi thế cạnh tranh cho tổ chức trên thị trường"
trademark,nhãn hiệu,other,approved,medium,auto,,,,false,,nhãn hiệu,"registration that provides the owner the ability to use a name, symbol, jingle, or character in conjunction with a specific product or service, and prevents others from using those same symbols to sell their products","sự đăng ký mang lại cho chủ sở hữu khả năng sử dụng một tên gọi, biểu tượng, giai điệu hoặc nhân vật liên kết với một sản phẩm hoặc dịch vụ cụ thể, và ngăn chặn những người khác sử dụng các biểu tượng tương tự để bán sản phẩm của họ"
truthfulness,tính trung thực,other,approved,medium,auto,,,,false,,tính trung thực,"underlying facts, reality, and evidence on a matter","các sự kiện cơ bản, thực tế và bằng chứng liên quan đến một vấn đề"
utility patent,bằng sáng chế tiện ích,other,approved,medium,auto,,,,false,,bằng sáng chế tiện ích,protects product ideas,bảo hộ các ý tưởng sản phẩm
corporate governance,quản trị doanh nghiệp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 3 (bổ sung),quản trị doanh nghiệp,"the system of rules, practices, and processes by which a company is directed and controlled.","hệ thống các quy tắc, thông lệ và quy trình được sử dụng để định hướng và kiểm soát hoạt động của doanh nghiệp."
ethical standards,chuẩn mực đạo đức,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 3 (bổ sung),chuẩn mực đạo đức,principles and criteria that guide behavior in determining what is right and wrong in a given context.,"các nguyên tắc và tiêu chí định hướng hành vi, giúp xác định điều gì là đúng và sai trong một bối cảnh cụ thể."
social impact,tác động xã hội,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 3 (bổ sung),tác động xã hội,"the effect of an action, business, or initiative on individuals, communities, and society as a whole.","những ảnh hưởng mà một hành động, doanh nghiệp hoặc sáng kiến gây ra đối với cá nhân, cộng đồng và xã hội nói chung."
accountability,trách nhiệm giải trình,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 3 (bổ sung),trách nhiệm giải trình,the obligation of individuals or organizations to take responsibility for their actions and to disclose results in a transparent manner.,nghĩa vụ của cá nhân hoặc tổ chức trong việc chịu trách nhiệm về hành động của mình và minh bạch thông tin về kết quả.
brainstorming,động não,other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 4, Chương 6",động não,generation of ideas in an environment free of judgment or dissension with the goal of creating solutions,quá trình tạo ra các ý tưởng trong một môi trường không có sự phán xét hoặc bất đồng nhằm mục tiêu tạo ra các giải pháp
creativity,sự sáng tạo,other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 4, Chương 6",sự sáng tạo,development of original ideas,sự phát triển các ý tưởng mang tính nguyên bản
design thinking,tư duy thiết kế,other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 4, Chương 6",tư duy thiết kế,"method to focus the design and development decisions of a product on the needs of the customer, typically involving an empathy-driven process to define complex problems and create solutions that address those problems","phương pháp tập trung các quyết định thiết kế và phát triển sản phẩm vào nhu cầu của khách hàng, thường bao gồm một quy trình dựa trên sự thấu cảm nhằm xác định các vấn đề phức tạp và tạo ra các giải pháp giải quyết các vấn đề đó"
diffusion chasm,khoảng cách khuếch tán,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 4,khoảng cách khuếch tán,"most critical point of adoption, which often occurs at the end of the early adoption phase, before the early majority steps in and truly confirms (or not) the diffusion of an invention","điểm quan trọng nhất trong quá trình chấp nhận, thường xảy ra vào cuối giai đoạn chấp nhận sớm, trước khi nhóm đa số sớm tham gia và thực sự xác nhận (hoặc không) sự lan rộng của một phát minh"
disruptive innovation,đổi mới đột phá,other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 4, Chương 11",đổi mới đột phá,process that significantly impacts the market by making a product or service more affordable and/or accessible often by smaller companies in an industry,"quá trình tác động đáng kể đến thị trường bằng cách làm cho một sản phẩm hoặc dịch vụ trở nên dễ tiếp cận hơn về chi phí và/hoặc khả năng tiếp cận, thường do các công ty nhỏ trong ngành thực hiện"
empathy,sự thấu cảm,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 4,sự thấu cảm,"human ability to feel what other humans are feeling, which in the context of creativity, innovation, and invention is essential to beginning a process of human-centric design","khả năng của con người trong việc cảm nhận những gì người khác đang cảm nhận, điều này trong bối cảnh sáng tạo, đổi mới và phát minh là yếu tố thiết yếu để bắt đầu quá trình thiết kế lấy con người làm trung tâm"
