term,translation,category,status,confidence,source,chapterRefs,reviewer,reviewedAt,locked,notes
credit,tín dụng,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
revenue,doanh thu,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
link to learning,liên kết học tập,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
learning objectives,mục tiêu học tập,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
suggested resources,tài nguyên gợi ý,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
key terms,thuật ngữ chính,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
review questions,câu hỏi ôn tập,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
discussion questions,câu hỏi thảo luận,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
case questions,câu hỏi tình huống,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
chapter outline,dàn ý chương,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
Copyright Rice University,,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_candidate
CC BY NC-SA,,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_candidate
business model,mô hình kinh doanh,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
venture,doanh nghiệp (venture),other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
entrepreneur in action,doanh nhân thực chiến,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
work it out,thực hành,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14",,,false,Extracted via terminology_analysis_known
CC BY,,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-8, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_candidate
innovation,đổi mới,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-8, chapter-10, chapter-11, chapter-12, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
creativity,sự sáng tạo,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-12, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
demand,nhu cầu,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14",,,false,Extracted via terminology_analysis_known
implement,triển khai,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14",,,false,Extracted via terminology_analysis_known
social media,mạng xã hội,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14",,,false,Extracted via terminology_analysis_known
funds,nguồn vốn,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
business plan,kế hoạch kinh doanh,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-4, chapter-5, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
Are You Ready,,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_candidate
price,giá,other,candidate,medium,auto_extraction,"chapter-2, chapter-3, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
capital,vốn,other,candidate,medium,auto_extraction,"chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
close,chốt bán hàng,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
financing,huy động vốn,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
stakeholders,stakeholders,other,candidate,medium,auto_extraction,"chapter-2, chapter-3, chapter-4, chapter-5, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
invention,phát minh,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-10, chapter-11, chapter-12, chapter-14",,,false,Extracted via terminology_analysis_known
supply,cung,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-5, chapter-6, chapter-8, chapter-9, chapter-11, chapter-12, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
equity,vốn chủ sở hữu,other,candidate,medium,auto_extraction,"chapter-1, chapter-3, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
expenses,chi phí,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-5, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14",,,false,Extracted via terminology_analysis_known
corporation,công ty cổ phần,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-9, chapter-10, chapter-12, chapter-13",,,false,Extracted via terminology_analysis_known
United States,,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-5, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-14",,,false,Extracted via terminology_analysis_candidate
evaluate,đánh giá (evaluate),other,candidate,medium,auto_extraction,"chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-8, chapter-10, chapter-11, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
entrepreneurial journey,hành trình khởi nghiệp,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-6, chapter-7, chapter-11, chapter-12, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
Objectives By,,other,candidate,medium,auto_extraction,"chapter-1, chapter-4, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_candidate
framework,khuôn khổ,other,candidate,medium,auto_extraction,"chapter-2, chapter-3, chapter-4, chapter-7, chapter-8, chapter-10, chapter-11, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
competitive advantage,lợi thế cạnh tranh,other,candidate,medium,auto_extraction,"chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-8, chapter-10, chapter-11, chapter-12, chapter-14",,,false,Extracted via terminology_analysis_known
brand,thương hiệu,other,candidate,medium,auto_extraction,"chapter-2, chapter-3, chapter-4, chapter-5, chapter-7, chapter-8, chapter-10, chapter-11, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
networking,xây dựng mạng lưới quan hệ,other,candidate,medium,auto_extraction,"chapter-2, chapter-3, chapter-6, chapter-7, chapter-8, chapter-10, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
advertising,quảng cáo,other,candidate,medium,auto_extraction,"chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14",,,false,Extracted via terminology_analysis_known
target market,thị trường mục tiêu,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-5, chapter-8, chapter-10, chapter-11, chapter-12, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
social entrepreneurship,khởi nghiệp xã hội,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-7, chapter-9, chapter-11, chapter-15",,,false,Extracted via terminology_analysis_known
infrastructure,cơ sở hạ tầng,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-5, chapter-7, chapter-9, chapter-10, chapter-11, chapter-12, chapter-15",,,false,Extracted via terminology_analysis_known
assessment,giai đoạn đánh giá (assessment),other,candidate,medium,auto_extraction,"chapter-2, chapter-3, chapter-5, chapter-6, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14",,,false,Extracted via terminology_analysis_known
assets,tài sản,other,candidate,medium,auto_extraction,"chapter-2, chapter-5, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
grant,khoản tài trợ,other,candidate,medium,auto_extraction,"chapter-2, chapter-6, chapter-7, chapter-9, chapter-10, chapter-11, chapter-12, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
contracts,Contracts,other,candidate,medium,auto_extraction,"chapter-2, chapter-3, chapter-7, chapter-8, chapter-9, chapter-10, chapter-12, chapter-13, chapter-14",,,false,Extracted via terminology_analysis_known
Learning Objectives By,,other,candidate,medium,auto_extraction,"chapter-2, chapter-3, chapter-5, chapter-6, chapter-7, chapter-8, chapter-11, chapter-12, chapter-13",,,false,Extracted via terminology_analysis_candidate
intellectual property,tài sản trí tuệ,other,candidate,medium,auto_extraction,"chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-10, chapter-11, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
entrepreneurial venture,dự án khởi nghiệp,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-5, chapter-6, chapter-9, chapter-11, chapter-12, chapter-15",,,false,Extracted via terminology_analysis_known
value proposition,giá trị đề xuất,other,candidate,medium,auto_extraction,"chapter-1, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11",,,false,Extracted via terminology_analysis_known
entrepreneurial opportunity,cơ hội khởi nghiệp,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-5, chapter-6, chapter-7, chapter-8, chapter-10",,,false,Extracted via terminology_analysis_known
patent,bằng sáng chế,other,candidate,medium,auto_extraction,"chapter-2, chapter-3, chapter-4, chapter-5, chapter-7, chapter-10, chapter-11, chapter-14",,,false,Extracted via terminology_analysis_known
pitch,bài thuyết trình gọi vốn (pitch),other,candidate,medium,auto_extraction,"chapter-2, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
sample,mẫu khảo sát,other,candidate,medium,auto_extraction,"chapter-2, chapter-6, chapter-8, chapter-10, chapter-11, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
insurance,bảo hiểm,other,candidate,medium,auto_extraction,"chapter-3, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14",,,false,Extracted via terminology_analysis_known
brainstorming,động não,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-4, chapter-6, chapter-12, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
cash flow,dòng tiền,other,candidate,medium,auto_extraction,"chapter-2, chapter-9, chapter-10, chapter-11, chapter-12, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
clarify,làm rõ,other,candidate,medium,auto_extraction,"chapter-3, chapter-6, chapter-7, chapter-8, chapter-10, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
crowdfunding,gọi vốn cộng đồng,other,candidate,medium,auto_extraction,"chapter-3, chapter-4, chapter-6, chapter-9, chapter-11, chapter-13, chapter-14",,,false,Extracted via terminology_analysis_known
toyota,Toyota,other,candidate,medium,auto_extraction,"chapter-3, chapter-4, chapter-6, chapter-10, chapter-12, chapter-13, chapter-14",,,false,Extracted via terminology_analysis_known
evaluation,giai đoạn đánh giá (evaluation),other,candidate,medium,auto_extraction,"chapter-4, chapter-6, chapter-10, chapter-11, chapter-12, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
marketing plan,kế hoạch marketing,other,candidate,medium,auto_extraction,"chapter-5, chapter-8, chapter-10, chapter-11, chapter-12, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
targeting,lựa chọn thị trường mục tiêu,other,candidate,medium,auto_extraction,"chapter-5, chapter-6, chapter-7, chapter-8, chapter-10, chapter-11, chapter-15",,,false,Extracted via terminology_analysis_known
Small Business Administration,,other,candidate,medium,auto_extraction,"chapter-5, chapter-8, chapter-9, chapter-10, chapter-12, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_candidate
mission statement,tuyên bố sứ mệnh,other,candidate,medium,auto_extraction,"chapter-1, chapter-3, chapter-7, chapter-9, chapter-11, chapter-13",,,false,Extracted via terminology_analysis_known
serial entrepreneur,doanh nhân khởi nghiệp liên tiếp,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-7, chapter-10, chapter-11, chapter-15",,,false,Extracted via terminology_analysis_known
social entrepreneur,doanh nhân xã hội,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-7, chapter-8, chapter-15",,,false,Extracted via terminology_analysis_known
demographics,nhân khẩu học,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-8",,,false,Extracted via terminology_analysis_known
entrepreneurial marketing,tiếp thị khởi nghiệp,other,candidate,medium,auto_extraction,"chapter-1, chapter-5, chapter-7, chapter-8, chapter-10, chapter-14",,,false,Extracted via terminology_analysis_known
projection,dự báo,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-5, chapter-8, chapter-9, chapter-11",,,false,Extracted via terminology_analysis_known
business model canvas,mô hình kinh doanh canvas,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-6, chapter-7, chapter-8, chapter-11",,,false,Extracted via terminology_analysis_known
partnership,hợp danh,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-10, chapter-12, chapter-13, chapter-14",,,false,Extracted via terminology_analysis_known
mcdonald’s,McDonald’s,other,candidate,medium,auto_extraction,"chapter-1, chapter-3, chapter-4, chapter-10, chapter-12, chapter-14",,,false,Extracted via terminology_analysis_known
What Can You Do,,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-7, chapter-10, chapter-11, chapter-13",,,false,Extracted via terminology_analysis_candidate
Entrepreneurial Finance and Accounting,,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-7, chapter-11, chapter-13, chapter-14",,,false,Extracted via terminology_analysis_candidate
lean startup,khởi nghiệp tinh gọn,other,candidate,medium,auto_extraction,"chapter-2, chapter-4, chapter-7, chapter-8, chapter-10, chapter-11",,,false,Extracted via terminology_analysis_known
business structure,cấu trúc doanh nghiệp,other,candidate,medium,auto_extraction,"chapter-2, chapter-3, chapter-5, chapter-12, chapter-13, chapter-14",,,false,Extracted via terminology_analysis_known
human resources,nguồn nhân lực,other,candidate,medium,auto_extraction,"chapter-2, chapter-3, chapter-8, chapter-10, chapter-12, chapter-14",,,false,Extracted via terminology_analysis_known
independent contractors,nhà thầu độc lập,other,candidate,medium,auto_extraction,"chapter-2, chapter-5, chapter-9, chapter-12, chapter-13, chapter-14",,,false,Extracted via terminology_analysis_known
sustainability,tính bền vững,other,candidate,medium,auto_extraction,"chapter-3, chapter-5, chapter-9, chapter-11, chapter-13, chapter-14",,,false,Extracted via terminology_analysis_known
New York,,other,candidate,medium,auto_extraction,"chapter-3, chapter-5, chapter-9, chapter-10, chapter-11, chapter-13",,,false,Extracted via terminology_analysis_candidate
due diligence,thẩm định kỹ lưỡng,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-5, chapter-8, chapter-15",,,false,Extracted via terminology_analysis_known
harvest,thoái vốn/hiện thực hóa giá trị,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-6, chapter-15",,,false,Extracted via terminology_analysis_known
entrepreneurial process,quy trình khởi nghiệp,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-5, chapter-6, chapter-11",,,false,Extracted via terminology_analysis_known
angel investor,nhà đầu tư thiên thần,other,candidate,medium,auto_extraction,"chapter-1, chapter-7, chapter-9, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
financial risk,rủi ro tài chính,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-10, chapter-12, chapter-13",,,false,Extracted via terminology_analysis_known
techcrunch,TechCrunch,other,candidate,medium,auto_extraction,"chapter-1, chapter-3, chapter-8, chapter-10, chapter-14",,,false,Extracted via terminology_analysis_known
Warby Parker,,other,candidate,medium,auto_extraction,"chapter-1, chapter-5, chapter-6, chapter-8, chapter-11",,,false,Extracted via terminology_analysis_candidate
opportunity recognition,nhận diện cơ hội kinh doanh,other,candidate,medium,auto_extraction,"chapter-2, chapter-5, chapter-6, chapter-8, chapter-15",,,false,Extracted via terminology_analysis_known
e-commerce,thương mại điện tử,other,candidate,medium,auto_extraction,"chapter-2, chapter-8, chapter-10, chapter-13, chapter-14",,,false,Extracted via terminology_analysis_known
diversity,đa dạng,other,candidate,medium,auto_extraction,"chapter-2, chapter-3, chapter-11, chapter-12, chapter-15",,,false,Extracted via terminology_analysis_known
ideation,quá trình hình thành ý tưởng,other,candidate,medium,auto_extraction,"chapter-2, chapter-4, chapter-6, chapter-7, chapter-11",,,false,Extracted via terminology_analysis_known
market opportunity,cơ hội thị trường,other,candidate,medium,auto_extraction,"chapter-2, chapter-5, chapter-7, chapter-8, chapter-11",,,false,Extracted via terminology_analysis_known
early stage,giai đoạn đầu,other,candidate,medium,auto_extraction,"chapter-2, chapter-9, chapter-11, chapter-12, chapter-15",,,false,Extracted via terminology_analysis_known
licensing,cấp phép,other,candidate,medium,auto_extraction,"chapter-2, chapter-5, chapter-10, chapter-12, chapter-14",,,false,Extracted via terminology_analysis_known
outsourcing,thuê ngoài,other,candidate,medium,auto_extraction,"chapter-2, chapter-6, chapter-12, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
Wikimedia Commons,,other,candidate,medium,auto_extraction,"chapter-2, chapter-3, chapter-4, chapter-10, chapter-11",,,false,Extracted via terminology_analysis_candidate
trademark,nhãn hiệu,other,candidate,medium,auto_extraction,"chapter-3, chapter-4, chapter-5, chapter-12, chapter-14",,,false,Extracted via terminology_analysis_known
empathy,sự thấu cảm,other,candidate,medium,auto_extraction,"chapter-3, chapter-4, chapter-6, chapter-7, chapter-11",,,false,Extracted via terminology_analysis_known
marketing strategy,chiến lược marketing,other,candidate,medium,auto_extraction,"chapter-3, chapter-8, chapter-11, chapter-12, chapter-14",,,false,Extracted via terminology_analysis_known
collateral,tài sản thế chấp,other,candidate,medium,auto_extraction,"chapter-3, chapter-9, chapter-11, chapter-12, chapter-14",,,false,Extracted via terminology_analysis_known
liability,nợ phải trả,other,candidate,medium,auto_extraction,"chapter-3, chapter-9, chapter-10, chapter-12, chapter-13",,,false,Extracted via terminology_analysis_known
market research,nghiên cứu thị trường,other,candidate,medium,auto_extraction,"chapter-4, chapter-5, chapter-8, chapter-10, chapter-14",,,false,Extracted via terminology_analysis_known
promotion,xúc tiến,other,candidate,medium,auto_extraction,"chapter-5, chapter-8, chapter-10, chapter-11, chapter-14",,,false,Extracted via terminology_analysis_known
The SBA,,other,candidate,medium,auto_extraction,"chapter-9, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_candidate
bootstrapping,tự huy động vốn,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-9, chapter-14",,,false,Extracted via terminology_analysis_known
design thinking,tư duy thiết kế,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-4, chapter-6",,,false,Extracted via terminology_analysis_known
gig economy,nền kinh tế gig,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-5, chapter-13",,,false,Extracted via terminology_analysis_known
swot analysis,phân tích SWOT,other,candidate,medium,auto_extraction,"chapter-1, chapter-5, chapter-8, chapter-11",,,false,Extracted via terminology_analysis_known
venture capitalist,nhà đầu tư mạo hiểm,other,candidate,medium,auto_extraction,"chapter-1, chapter-9, chapter-11, chapter-14",,,false,Extracted via terminology_analysis_known
In the United States,,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-8, chapter-9",,,false,Extracted via terminology_analysis_candidate
Identifying Entrepreneurial Opportunity,,other,candidate,medium,auto_extraction,"chapter-1, chapter-6, chapter-7, chapter-8",,,false,Extracted via terminology_analysis_candidate
social impact,tác động xã hội,other,candidate,medium,auto_extraction,"chapter-2, chapter-3, chapter-4, chapter-11",,,false,Extracted via terminology_analysis_known
advisory board,hội đồng cố vấn,other,candidate,medium,auto_extraction,"chapter-2, chapter-5, chapter-11, chapter-14",,,false,Extracted via terminology_analysis_known
Public Domain,,other,candidate,medium,auto_extraction,"chapter-2, chapter-3, chapter-4, chapter-14",,,false,Extracted via terminology_analysis_candidate
Risk Issues,,other,candidate,medium,auto_extraction,"chapter-2, chapter-3, chapter-12, chapter-14",,,false,Extracted via terminology_analysis_candidate
Business Model and Plan,,other,candidate,medium,auto_extraction,"chapter-2, chapter-7, chapter-8, chapter-10",,,false,Extracted via terminology_analysis_candidate
Business Structure Options,,other,candidate,medium,auto_extraction,"chapter-2, chapter-3, chapter-12, chapter-14",,,false,Extracted via terminology_analysis_candidate
